Emotion,Age,Gender,id
neutral,26,Man,1
fear,24,Man,4
sad,28,Man,5
sad,25,Man,6
neutral,25,Man,7
sad,26,Man,1
neutral,25,Man,2
neutral,26,Man,3
neutral,26,Man,8
neutral,25,Man,9
neutral,26,Man,10
neutral,25,Man,11
sad,43,Man,12
sad,28,Man,13
neutral,27,Man,14
neutral,39,Man,15
fear,41,Man,16
sad,25,Man,17
neutral,24,Man,18
angry,25,Man,19
angry,25,Man,20
angry,25,Man,21
angry,26,Man,22
angry,25,Man,23
angry,25,Man,24
neutral,25,Man,25
angry,28,Man,26
angry,25,Man,27
neutral,24,Man,28
neutral,25,Man,29
